token,term_freq,doc_freq,category,canonical_form
베이지,3414,2639,,
칼,3393,2750,,
더비,3391,2496,,
정,3373,2937,,
다음,3372,2876,,
rrl,3363,1634,,
유니온,3352,2682,,
스트릿,3328,2974,,
무난,3324,2795,,
세탁,3311,2040,,
쿠폰,3297,2692,,
꺼,3289,3019,,
바,3283,2806,,
코,3265,2552,,
여유,3256,2617,,
스탠다드,3247,2722,,
콜라,3244,2697,,
로맨틱무브,3223,2896,,
선물,3210,2526,,
체험,3194,2410,,
팁,3192,2885,,
레드,3191,2518,,
더,3185,2779,,
작년,3184,2673,,
남자,3183,2823,,
참고,3171,2917,,
쇼핑,3163,2536,,
스타,3162,2738,,
매치,3151,2643,,
레,3150,2501,,
팩,3142,2425,,
맨투맨,3134,2471,,
로우,3117,2580,,
줄,3114,2776,,
포켓,3091,1954,,
산,3080,1706,,
아,3076,2808,,
확인,3071,2711,,
배송,3058,2377,,
하트,3053,2409,,
완료,3053,2955,,
매물,3030,2556,,
상품,3017,2312,,
즈,3013,2628,,
마지막,3001,2729,,
서울,2968,2146,,
지퍼,2938,1783,,
워크,2933,2094,,
구경,2933,2424,,
달,2922,2540,,
칸,2897,1948,,
기준,2877,2452,,
유행,2873,2344,,
주문,2865,2350,,
댓글,2860,2501,,
어깨,2857,2215,,
종,2852,2072,,
피,2849,2452,,
셀,2828,2207,,
가성비,2828,2500,,
팝업,2812,1379,,
하루,2792,2547,,
해당,2791,2516,,
미,2773,2369,,
셋,2770,2198,,
next,2763,1694,,
image,2757,1688,,
토,2745,2026,,
입,2742,2332,,
가지,2741,2337,,
답변,2721,2585,,
전체,2719,2081,,
추가,2715,2316,,
톤,2711,1957,,
실물,2706,2367,,
회원,2692,2353,,
판매,2679,2114,,
스탠딩,2677,2216,,
머리,2677,2001,,
발매,2666,2060,,
주소,2651,2569,,
나일론,2642,2096,,
슈즈,2618,1893,,
여자,2616,2138,,
유,2599,2259,,
다양,2598,1974,,
아워레가시,2598,1977,,
재질,2588,2112,,
세터,2586,1937,,
기분,2577,2345,,
온,2570,2153,,
그린,2570,2011,,
입문,2570,2308,,
소개,2560,1682,,
반바지,2546,2070,,
관심,2535,2256,,
컬렉션,2524,1236,,
sns,2520,2508,,
구매처,2517,2255,,
프레이,2516,1965,,
스펙,2501,2279,,
소매,2500,1775,,
다운,2498,1914,,
사이트,2498,2283,,
걸,2484,2393,,
실루엣,2479,1531,,
애플,2475,2311,,
밑단,2471,1752,,
브랜디드,2471,2095,,
a,2463,1514,,
운,2462,2087,,
블레이저,2441,1795,,
여러분,2432,2318,,
조합,2426,2016,,
지금,2422,2172,,
애프터,2410,1866,,
베스트,2393,1745,,
길이,2392,1966,,
u,2382,1606,,
메종미네드,2379,1963,,
닥터,2373,2102,,
워싱,2371,1766,,
레이어드,2371,1938,,
뒤,2367,1911,,
실,2362,2062,,
오픈,2354,1124,,
워치,2344,2149,,
예전,2343,2130,,
소,2343,1307,,
카라,2340,1691,,
올해,2340,2049,,
목,2318,1868,,
도,2303,2016,,
덩크,2288,1961,,
얼마,2277,2169,,
룸,2272,1895,,
v,2269,1617,,
노스페이스,2268,1908,,
로스트,2265,1965,,
의견,2264,2100,,
테,2254,1711,,
님,2251,2215,,
클래식,2237,1767,,
코튼,2236,1647,,
시계,2235,1546,,
단추,2234,1499,,
매력,2233,1740,,
감성,2228,1675,,
핏더,2222,1945,,
일반,2220,1897,,
우,2215,1948,,
경우,2213,1566,,
자체,2210,1825,,
흰색,2208,1905,,
선,2207,1885,,
방문,2206,1679,,
밑,2203,1940,,
템포,2202,1931,,
옴므,2200,1824,,
오프,2198,1783,,
카운트,2190,1480,,
유니폼브릿지,2185,1864,,
한국,2181,1689,,
조셉,2179,1902,,
국내,2173,1754,,
바람막이,2170,1694,,
엔,2148,1341,,
걱정,2148,2014,,
영상,2137,1777,,
상태,2133,1846,,
자,2131,1837,,
퀄리티,2127,1722,,
프로,2127,1742,,
ss,2117,1514,,
셋 업,2117,1601,,
모습,2114,1029,,
끝,2113,1942,,
니,2105,1852,,
카키,2103,1605,,
몬스터,2096,1883,,
따뜻,2088,1838,,
광고,2088,1264,,
존재,2084,864,,
불편,2084,1835,,
밀,2080,1701,,
드로우핏,2078,1792,,
슈,2072,1920,,
스웨이드,2065,1538,,
랄프 로렌,2062,1480,,
fw,2058,1506,,
첼시,2051,1694,,
롱,2047,1692,,
스웻,2045,1526,,
기억,2040,1699,,
피드백,2037,1974,,
운동,2030,1730,,
오어슬로우,2028,1399,,
체형,2017,1723,,
린,2015,1652,,
목걸이,2014,1749,,
조심,2012,1933,,
부담,2010,1856,,
궁금,2005,1906,,
펜,1996,1807,,
게시판,1990,1943,,
척,1989,1800,,
세미,1989,1753,,
토니웩,1984,1510,,
두께,1977,1606,,
삭제,1973,1906,,
자라,1969,1689,,
패턴,1965,1399,,
문제,1962,1577,,
벌,1959,1500,,
체크,1959,1483,,
아이,1957,1488,,
조,1951,1689,,
르,1950,1635,,
다크,1950,1520,,
구두,1943,1391,,
아크테릭스,1925,1467,,
후드티,1922,1577,,
프로젝트,1921,1535,,
플랙,1917,1614,,
양말,1916,1384,,
스니커즈,1911,1579,,
나름,1911,1759,,
악세사리,1906,1851,,
파,1902,1573,,
세,1900,1747,,
제로,1899,1747,,
적당,1899,1688,,
코스,1892,1504,,
인기,1890,1590,,
vs,1885,1666,,
레더,1881,1464,,
명,1874,1504,,
검,1872,1460,,
올리브,1870,1415,,
맨,1869,1477,,
너,1868,1607,,
비교,1867,1568,,
기대,1865,1713,,
벨리,1858,1263,,
길,1858,1523,,
방향,1857,1787,,
택,1857,1406,,
통,1853,1465,,
무신,1845,1652,,
메이드,1841,1526,,
식,1839,1736,,
요청,1837,1740,,
상,1825,1525,,
세컨,1825,1613,,
장만,1821,1776,,
콜,1819,1373,,
mmrb,1814,1517,,
몸,1813,1617,,
도움,1812,1624,,
조언,1811,1690,,
씨,1809,1404,,
이미지,1804,853,,
머플러,1803,1338,,
애매,1803,1672,,
타,1799,1478,,
된장,1792,1572,,
인스타그램,1787,1745,,
작성,1786,1639,,
어,1782,1611,,
직업,1781,1756,,
해칭룸,1780,1170,,
신,1771,1560,,
복수,1769,1621,,
lvc,1768,1208,,
리뷰,1766,1369,,
젤,1761,1509,,
출근,1755,1484,,
포,1753,1478,,
클럽,1752,1425,,
온라인,1749,1381,,
면,1745,1489,,
엑스,1745,1496,,
흑,1744,1426,,
버핏,1735,1493,,
검색,1735,1556,,
에스,1730,1471,,
재고,1729,1425,,
에스피오나지,1728,1473,,
앤,1727,1420,,
지갑,1727,1226,,
화,1725,1517,,
반품,1724,1275,,
팀버랜드,1714,1484,,
투,1713,1423,,
동안,1710,1582,,
로,1707,1511,,
하우스,1702,1244,,
필드,1701,1315,,
최고,1697,1519,,
호,1690,1242,,
팔찌,1689,1381,,
사이,1687,1544,,
방법,1684,1414,,
기존,1682,1443,,
이스트,1682,1310,,
출시,1681,1309,,
커버,1676,1458,,
킹,1674,957,,
가든,1671,1448,,
르메르,1670,846,,
비지,1658,1253,,
적,1657,1559,,
가격대,1651,1535,,
경험,1650,1389,,
입고,1646,1459,,
독일군,1644,1415,,
스트라이프,1642,1242,,
숏,1637,1233,,
컨텐츠,1636,1610,,
마무리,1635,1440,,
천,1635,1291,,
양식,1631,893,,
선글라스,1630,1374,,
카테고리,1628,1566,,
워,1627,1304,,
원래,1622,1566,,
클락,1614,1439,,
속,1613,1407,,
탑,1612,1322,,
주머니,1611,1165,,
공유,1609,1503,,
직원,1607,1214,,
도쿄,1603,1118,,
포함,1602,1493,,
물,1600,1243,,
배,1598,1394,,
보유,1598,1461,,
구분,1597,1553,,
w,1597,1169,,
레이,1588,1389,,
킨치,1587,1303,,
결제,1586,1187,,
복,1582,1346,,
캐피탈,1577,918,,
유스,1575,1026,,
반팔티,1571,1365,,
에이,1568,1336,,
행복,1566,1434,,
브론슨,1566,1050,,
현대,1561,1199,,
회,1555,964,,
트리,1553,1319,,
마르지,1550,1291,,
교환,1550,1123,,
핑크,1549,1168,,
운동화,1548,1327,,
옆,1547,1368,,
도프,1545,1381,,
cos,1545,1009,,
고급,1538,1151,,
총장,1522,1114,,
올,1521,1334,,
제이슨,1518,1362,,
