YEAR,TOKEN_TYPE,token,count,share
2022,BRAND,아식스,3431,2.433920236085297
2022,BRAND,아워레가시,1158,0.8214746818381737
2022,BRAND,아워셀브스,76,0.053913709688861146
2022,BRAND,아워스코프,267,0.1894073748279727
2022,BRAND,아이언레인저,110,0.07803300086545692
2022,BRAND,아크테릭스,878,0.6228452250897379
2022,BRAND,아트이프액츠,339,0.24048352084899907
2022,BRAND,아페쎄,468,0.33199494913667127
2022,BRAND,아프레쎄,9,0.006384518252628293
2022,BRAND,안데르센,224,0.15890356539874861
2022,BRAND,알렌느,595,0.4220875955904261
2022,BRAND,애쉬크로프트,227,0.16103173814962474
2022,BRAND,애프터프레이,1391,0.9867627654895507
2022,BRAND,애플,1606,1.139281812635671
2022,BRAND,앤더슨벨,2376,1.6855128186938695
2022,BRAND,어나더오피스,216,0.15322843806307904
2022,BRAND,어널러코드,348,0.24686803910162736
2022,BRAND,언더마이카,161,0.11421193763035058
2022,BRAND,언타이틀,179,0.12698097413560716
2022,BRAND,에센셜,375,0.26602159385951224
2022,BRAND,에스티유오피스,687,0.4873515599506264
2022,BRAND,에스피오나지,1152,0.8172183363364215
2022,BRAND,엑슬림,52,0.036888327681852365
2022,BRAND,예일,393,0.2787906303647688
2022,BRAND,오가프,195,0.13833122880694634
2022,BRAND,오어슬로우,2398,1.7011194188669607
2022,BRAND,오클리,42,0.029794418512265372
2022,BRAND,와일드브릭스,338,0.23977412993204036
2022,BRAND,요시다포터,115,0.08157995545025042
2022,BRAND,우영미,387,0.2745342848630166
2022,BRAND,우포스,670,0.4752919143623285
2022,BRAND,웨이비니스,63,0.04469162776839805
2022,BRAND,위더로드,417,0.2958160123717776
2022,BRAND,위캔더스,83,0.05887944610757204
2022,BRAND,유니온,888,0.6299391342593249
2022,BRAND,유니클로,2827,2.0054481222422424
2022,BRAND,유니폼브릿지,1617,1.1470851127222168
2022,BRAND,유스,581,0.4121561227530043
2022,BRAND,이얼즈어고,166,0.11775889221514407
2022,BRAND,이지,693,0.4916079054523786
2022,BRAND,인세인개러지,120,0.08512691003504391
2022,BRAND,일꼬르소,344,0.24403047543379253
2022,BRAND,자라,888,0.6299391342593249
2022,BRAND,자바나스,2364,1.677000127690365
2022,BRAND,젠틀몬스터,1581,1.1215470397117036
2022,BRAND,조던,3570,2.5325255735425563
2022,BRAND,조셉앤스테이시,1046,0.7420228991387995
2022,BRAND,주앙옴므,1435,1.0179759658357335
2022,BRAND,지샥,263,0.1865698111601379
2022,BRAND,지오다노,427,0.30290992154136454
2022,BRAND,챔피온,250,0.17734772923967482
2022,BRAND,카시오,618,0.43840358668047613
2022,BRAND,칼하트wip,150,0.10640863754380488
2022,BRAND,캐피탈,102,0.07235787352978733
2022,BRAND,캡틴선샤인,65,0.04611040960231545
2022,BRAND,컨버스,3580,2.539619482712143
2022,BRAND,코스,1643,1.1655292765631429
2022,BRAND,쿠어,2521,1.788374501652881
2022,BRAND,크롬하츠,249,0.1766383383227161
2022,BRAND,클락스,696,0.4937360782032547
2022,BRAND,키뮤어,436,0.30929443979399285
2022,BRAND,키스,26,0.018444163840926182
2022,BRAND,키코,156,0.11066498304555708
2022,BRAND,킨치,332,0.23551778443028815
2022,BRAND,테켓,326,0.23126143892853598
2022,BRAND,토니웩,933,0.6618617255224664
2022,BRAND,토피,923,0.6547678163528794
2022,BRAND,톰브라운,246,0.17451016557184001
2022,BRAND,팀버랜드,374,0.26531220294255353
2022,BRAND,파라부트,97,0.06881091894499383
2022,BRAND,파르티멘토,586,0.41570307733779777
2022,BRAND,파타고니아,230,0.16315991090050083
2022,BRAND,팔라스,186,0.13194671055431806
2022,BRAND,페몬트,267,0.1894073748279727
2022,BRAND,페이탈리즘,799,0.5668033426500008
2022,BRAND,포터,1218,0.8640381368556956
2022,BRAND,포터리,193,0.13691244697302896
2022,BRAND,포트너스,251,0.17805712015663352
2022,BRAND,폴로,2555,1.8124937928294764
2022,BRAND,푸마,321,0.22771448434374245
2022,BRAND,프라다,452,0.32064469446533206
2022,BRAND,프라이탁,642,0.4554289686874849
2022,BRAND,프로젝트지알,68,0.04823858235319155
2022,BRAND,프리즘웍스,553,0.3922931770781607
2022,BRAND,플랙,1399,0.9924378928252202
2022,BRAND,해칭룸,620,0.43982236851439355
