SEASON,TOKEN_TYPE,token,count,share
Fall,BRAND,아디다스,2177,2.421525661275611
Fall,BRAND,아르켓,145,0.16128673444417255
Fall,BRAND,아미,167,0.1857578251874263
Fall,BRAND,아스토플렉스,97,0.10789526373161887
Fall,BRAND,아식스,1898,2.111187737758893
Fall,BRAND,아워레가시,681,0.7574914907343552
Fall,BRAND,아워셀브스,86,0.09565971835999199
Fall,BRAND,아워스코프,122,0.13570332139440724
Fall,BRAND,아이언레인저,144,0.160174412137661
Fall,BRAND,아크테릭스,821,0.91321661364597
Fall,BRAND,아트이프액츠,346,0.38486351805299107
Fall,BRAND,아페쎄,189,0.21022891593068005
Fall,BRAND,아프레쎄,95,0.10567061911859581
Fall,BRAND,안데르센,208,0.23136303975439923
Fall,BRAND,알렌느,253,0.2814175435474183
Fall,BRAND,애쉬크로프트,210,0.2335876843674223
Fall,BRAND,애프터프레이,990,1.1011990834464196
Fall,BRAND,애플,525,0.5839692109185558
Fall,BRAND,앤더슨벨,1222,1.3592578585570956
Fall,BRAND,어나더오피스,269,0.29921470045160287
Fall,BRAND,어널러코드,195,0.2169028497697493
Fall,BRAND,언더마이카,133,0.14793886676603413
Fall,BRAND,언타이틀,138,0.1535004782985918
Fall,BRAND,에센셜,217,0.24137394051300304
Fall,BRAND,에스티유오피스,337,0.37485261729438724
Fall,BRAND,에스피오나지,732,0.8142199283664435
Fall,BRAND,엑슬림,103,0.11456919757068809
Fall,BRAND,예일,196,0.2180151720762608
Fall,BRAND,오가프,88,0.09788436297301507
Fall,BRAND,오어슬로우,1511,1.6807190051389291
Fall,BRAND,오클리,124,0.13792796600743032
Fall,BRAND,와일드브릭스,156,0.17352227981579943
Fall,BRAND,요시다포터,73,0.08119952837534204
Fall,BRAND,우영미,163,0.18130853596138016
Fall,BRAND,우포스,65,0.07230094992324976
Fall,BRAND,웨이비니스,110,0.12235545371626882
Fall,BRAND,위더로드,190,0.21134123823719161
Fall,BRAND,위캔더스,98,0.1090075860381304
Fall,BRAND,유니온,750,0.8342417298836511
Fall,BRAND,유니클로,3243,3.6072612400169075
Fall,BRAND,유니폼브릿지,911,1.013325621232008
Fall,BRAND,유스,475,0.528353095592979
Fall,BRAND,이얼즈어고,193,0.2146782051567262
