token,count,share,SOURCE,TOKEN_TYPE,total_share,delta,COMMUNITY
acg,136,0.10647542844616337,ZZ,BRAND,0.2119995352019935,-0.10552410675583013,Z9DY
cp컴퍼니,121,0.09473181501460122,ZZ,BRAND,0.12497901953442733,-0.030247204519826112,Z9DY
etce,3631,2.842737358000141,ZZ,BRAND,1.2126063548216337,1.6301310031785075,Z9DY
jw앤더슨,60,0.04697445372624855,ZZ,BRAND,0.1820458858920894,-0.13507143216584083,Z9DY
lee,114,0.08925146207987222,ZZ,BRAND,0.1706841568435051,-0.08143269476363288,Z9DY
lmc,186,0.14562080655137047,ZZ,BRAND,0.13969762307463882,0.005923183476731653,Z9DY
mlb,196,0.1534498821724119,ZZ,BRAND,0.18772675041638154,-0.03427686824396964,Z9DY
mmgl,533,0.41728973060150787,ZZ,BRAND,0.2633855370353634,0.1539041935661445,Z9DY
mmrb,1227,0.9606275787017827,ZZ,BRAND,0.49991607813770933,0.4607115005640734,Z9DY
mngu,359,0.2810638147953871,ZZ,BRAND,0.1544162266148503,0.1266475881805368,Z9DY
new,124,0.09708053770091365,ZZ,BRAND,0.14150517087782266,-0.044424633176909006,Z9DY
oam,37,0.028967579797853266,ZZ,BRAND,0.39507830555304513,-0.3661107257551919,Z9DY
rrl,163,0.1276139326229752,ZZ,BRAND,1.5816043277858831,-1.4539903951629078,Z9DY
ymclky,107,0.08377110914514324,ZZ,BRAND,0.12007281835435685,-0.036301709209213606,Z9DY
구찌,267,0.209036319081806,ZZ,BRAND,0.2398874155939731,-0.03085109651216711,Z9DY
굿라이프웍스,99,0.0775078486483101,ZZ,BRAND,0.08572941009386337,-0.008221561445553263,Z9DY
그라더스,169,0.13231137799560005,ZZ,BRAND,0.21329064077569623,-0.08097926278009618,Z9DY
그라미치,85,0.0665471427788521,ZZ,BRAND,0.18101300143312718,-0.11446585865427508,Z9DY
그레일즈,406,0.3178604702142818,ZZ,BRAND,0.23937097336449198,0.07848949684978984,Z9DY
그리쉬,305,0.2387868064417634,ZZ,BRAND,0.12859411514079508,0.11019269130096832,Z9DY
꼼데가르송,478,0.37422981468578004,ZZ,BRAND,0.3705472996526926,0.003682515033087419,Z9DY
나나미카,41,0.03209921004626984,ZZ,BRAND,0.3261332679173176,-0.29403405787104775,Z9DY
나이키,6012,4.706840263370104,ZZ,BRAND,4.544949840548462,0.16189042282164223,Z9DY
네이더스,271,0.2121679493302226,ZZ,BRAND,0.17197526241720787,0.040192686913014725,Z9DY
노메뉴얼,150,0.11743613431562136,ZZ,BRAND,0.125753682878649,-0.008317548563027632,Z9DY
노스페이스,901,0.7053997134558323,ZZ,BRAND,0.7935134855977173,-0.08811377214188498,Z9DY
뉴발란스,3555,2.783236383280226,ZZ,BRAND,3.1456496197694084,-0.36241323648918256,Z9DY
뉴에라,207,0.16206186535555747,ZZ,BRAND,0.2388545311350109,-0.07679266577945343,Z9DY
뉴치프시크,190,0.14875243679978706,ZZ,BRAND,0.1164577227479891,0.03229471405179796,Z9DY
다이브인,248,0.1941610754018273,ZZ,BRAND,0.11749060720695131,0.076670468194876,Z9DY
닥터마틴,948,0.742196368874727,ZZ,BRAND,0.7444514737970124,-0.0022551049222854225,Z9DY
더뮤지엄비지터,797,0.6239773269970015,ZZ,BRAND,0.46505622764773474,0.15892109934926674,Z9DY
더콜디스트모먼트,282,0.22077993251336817,ZZ,BRAND,0.16500329231921293,0.055776640194155236,Z9DY
던스트,305,0.2387868064417634,ZZ,BRAND,0.13479142189456833,0.10399538454719506,Z9DY
데우스엑스마키나,199,0.15579860485872432,ZZ,BRAND,0.17042593572876455,-0.014627330870040228,Z9DY
도프제이슨,1321,1.0342208895395721,ZZ,BRAND,0.8926703936580894,0.14155049588148272,Z9DY
드레익스,13,0.01017779830735385,ZZ,BRAND,0.2729397182807638,-0.26276191997341,Z9DY
드로우핏,843,0.659991074853792,ZZ,BRAND,0.5701522213471396,0.08983885350665244,Z9DY
디스이즈네버댓,339,0.26540566355330425,ZZ,BRAND,0.31348043329503056,-0.04807476974172631,Z9DY
디앤써,592,0.46348127676565226,ZZ,BRAND,0.3116728854918467,0.15180839127380558,Z9DY
디젤,422,0.33038699120794807,ZZ,BRAND,0.2360140988728648,0.09437289233508325,Z9DY
디키즈,312,0.24426715937649243,ZZ,BRAND,0.3369785547364208,-0.09271139535992837,Z9DY
라코스테,159,0.12448230237455864,ZZ,BRAND,0.13556608523878996,-0.011083782864231326,Z9DY
라퍼지스토어,162,0.12683102506087104,ZZ,BRAND,0.4965592036460822,-0.3697281785852111,Z9DY
라프시몬스,226,0.17693710903553617,ZZ,BRAND,0.13530786412404944,0.04162924491148673,Z9DY
랄프로렌,249,0.19494398296393145,ZZ,BRAND,0.5476869843647115,-0.3527430014007801,Z9DY
레드윙,141,0.11038996625668408,ZZ,BRAND,0.5004325203671904,-0.39004255411050637,Z9DY
로맨틱무브,1849,1.4475960823305591,ZZ,BRAND,0.993893070636386,0.45370301169417315,Z9DY
루이비통,168,0.13152847043349591,ZZ,BRAND,0.1208474816985785,0.010680988734917421,Z9DY
르메르,1068,0.836145276327224,ZZ,BRAND,0.572217990265064,0.26392728606216,Z9DY
리넥츠,69,0.05402062178518582,ZZ,BRAND,0.2535731346752224,-0.1995525128900366,Z9DY
리바이스,474,0.3710981844373635,ZZ,BRAND,1.7130388751888241,-1.3419406907514606,Z9DY
리복,342,0.26775438623961667,ZZ,BRAND,0.27862058280505597,-0.010866196565439301,Z9DY
리얼 맥코이,14,0.010960705869457993,ZZ,BRAND,0.11310084825636192,-0.10214014238690393,Z9DY
릭오웬스,417,0.32647245339742736,ZZ,BRAND,0.29721250306637576,0.02925995033105161,Z9DY
마틴로즈,2093,1.6386255274839698,ZZ,BRAND,1.2905891314732805,0.34803639601068936,Z9DY
마틴플랜,609,0.47679070532142276,ZZ,BRAND,0.29850360864007847,0.1782870966813443,Z9DY
메종마르지엘라,1187,0.929311276217617,ZZ,BRAND,0.7070094121596323,0.2223018640579847,Z9DY
메종미네드,1135,0.8886000829882015,ZZ,BRAND,0.6331581733438343,0.2554419096443672,Z9DY
메종키츠네,253,0.19807561321234804,ZZ,BRAND,0.15519088995907196,0.04288472325327608,Z9DY
모드나인,3043,2.382387711482905,ZZ,BRAND,1.4413902624817632,0.9409974490011419,Z9DY
모스콧,64,0.050106083974665115,ZZ,BRAND,0.16990949349928344,-0.11980340952461832,Z9DY
모이프,107,0.08377110914514324,ZZ,BRAND,0.2716486127070611,-0.18787750356191785,Z9DY
몽벨,51,0.039928285667311256,ZZ,BRAND,0.10509599369940481,-0.06516770803209355,Z9DY
무신사,232,0.18163455440816104,ZZ,BRAND,0.12033103946909739,0.06130351493906365,Z9DY
무인양품,38,0.02975048735995741,ZZ,BRAND,0.13453320077982778,-0.10478271341987036,Z9DY
무탠다드,2916,2.282958451095679,ZZ,BRAND,1.9996643125508373,0.28329413854484153,Z9DY
문선,243,0.1902465375913066,ZZ,BRAND,0.13634074858301162,0.053905789008294985,Z9DY
미나브,542,0.4243358986604452,ZZ,BRAND,0.28843298516519694,0.13590291349524825,Z9DY
미하라야스히로,1079,0.8447572595103696,ZZ,BRAND,0.6556234103262624,0.18913384918410725,Z9DY
밈더워드로브,699,0.5472523859107955,ZZ,BRAND,0.35686158057144335,0.19039080533935215,Z9DY
바라쿠타,38,0.02975048735995741,ZZ,BRAND,0.14718603540211483,-0.11743554804215742,Z9DY
바버,145,0.11352159650510066,ZZ,BRAND,0.3852659031929041,-0.27174430668780347,Z9DY
반스,1969,1.5415449897830562,ZZ,BRAND,1.9898519101906962,-0.44830692040764,Z9DY
발렌시아가,1900,1.4875243679978705,ZZ,BRAND,1.1811033788232863,0.30642098917458416,Z9DY
버버리,83,0.06498132765464382,ZZ,BRAND,0.1180070494364324,-0.05302572178178859,Z9DY
버윅,54,0.04227700835362369,ZZ,BRAND,0.11903993389539462,-0.07676292554177093,Z9DY
버즈릭슨,18,0.014092336117874563,ZZ,BRAND,0.3302648057531664,-0.31617246963529183,Z9DY
버켄스탁,240,0.1878978149049942,ZZ,BRAND,0.2605451047732173,-0.07264728986822311,Z9DY
베이프,166,0.12996265530928763,ZZ,BRAND,0.15209223658218535,-0.022129581272897714,Z9DY
보테가베네타,409,0.32020919290059424,ZZ,BRAND,0.19728093166178198,0.12292826123881226,Z9DY
브라운야드,549,0.42981625159517417,ZZ,BRAND,0.36305888732521663,0.06675736426995754,Z9DY
브랜디드,1688,1.3215479648317923,ZZ,BRAND,0.8614256387744826,0.4601223260573096,Z9DY
브론슨,66,0.0516718990988734,ZZ,BRAND,0.3981769589299317,-0.3465050598310583,Z9DY
브룩스브라더스,150,0.11743613431562136,ZZ,BRAND,0.4924276658102333,-0.37499153149461195,Z9DY
블랭크룸,428,0.33508443658057296,ZZ,BRAND,0.31348043329503056,0.021604003285542406,Z9DY
비긴202,375,0.29359033578905336,ZZ,BRAND,0.1890178559900843,0.10457247979896905,Z9DY
비바스튜디오,469,0.3671836466268428,ZZ,BRAND,0.30186048313170566,0.06532316349513712,Z9DY
비얼디드키드,158,0.12369939481245448,ZZ,BRAND,0.1262701251081301,-0.002570730295675616,Z9DY
비이커,42,0.03288211760837398,ZZ,BRAND,0.10741998373206976,-0.07453786612369578,Z9DY
빔즈,103,0.08063947889672667,ZZ,BRAND,0.22955857100435104,-0.14891909210762438,Z9DY
사카이,123,0.09629763013880951,ZZ,BRAND,0.11826527055117297,-0.02196764041236346,Z9DY
생로랑,417,0.32647245339742736,ZZ,BRAND,0.2003795850386686,0.12609286835875877,Z9DY
샤카웨어,97,0.07594203352410181,ZZ,BRAND,0.2398874155939731,-0.1639453820698713,Z9DY
세인트제임스,263,0.20590468883338944,ZZ,BRAND,0.2639019792648445,-0.057997290431455045,Z9DY
세터,1605,1.2565666371771484,ZZ,BRAND,0.8273404516287297,0.42922618554841874,Z9DY
