SEASON_YEAR,YEAR,SEASON,TOKEN_TYPE,token,count,share
2022-Fall,2022,Fall,BRAND,버즈릭슨,23,0.0540337358455105
2022-Fall,2022,Fall,BRAND,버켄스탁,39,0.09162242165108302
2022-Fall,2022,Fall,BRAND,베이프,33,0.07752666447399333
2022-Fall,2022,Fall,BRAND,보테가베네타,88,0.2067377719306489
2022-Fall,2022,Fall,BRAND,브라운야드,126,0.29601090071888364
2022-Fall,2022,Fall,BRAND,브랜디드,483,1.1347084527557205
2022-Fall,2022,Fall,BRAND,브론슨,27,0.06343090729690364
2022-Fall,2022,Fall,BRAND,브룩스브라더스,102,0.23962787201052485
2022-Fall,2022,Fall,BRAND,블랭크룸,149,0.3500446365643941
2022-Fall,2022,Fall,BRAND,비긴202,47,0.11041676455386928
2022-Fall,2022,Fall,BRAND,비바스튜디오,196,0.4604614011182634
2022-Fall,2022,Fall,BRAND,비얼디드키드,63,0.14800545035944182
2022-Fall,2022,Fall,BRAND,비이커,30,0.07047878588544848
2022-Fall,2022,Fall,BRAND,빔즈,46,0.108067471691021
2022-Fall,2022,Fall,BRAND,사카이,47,0.11041676455386928
2022-Fall,2022,Fall,BRAND,생로랑,120,0.2819151435417939
2022-Fall,2022,Fall,BRAND,샤카웨어,127,0.2983601935817319
2022-Fall,2022,Fall,BRAND,세인트제임스,123,0.28896302213033875
2022-Fall,2022,Fall,BRAND,세터,561,1.3179532960578866
2022-Fall,2022,Fall,BRAND,소니,128,0.3007094864445802
2022-Fall,2022,Fall,BRAND,솔리드옴므,110,0.2584222149133111
2022-Fall,2022,Fall,BRAND,수아레,195,0.45811210825541515
2022-Fall,2022,Fall,BRAND,슈펜,92,0.216134943382042
2022-Fall,2022,Fall,BRAND,슈프림,318,0.7470751303857539
2022-Fall,2022,Fall,BRAND,스캇,137,0.3218531222102147
2022-Fall,2022,Fall,BRAND,스톤아일랜드,150,0.3523939294272424
2022-Fall,2022,Fall,BRAND,스투시,510,1.1981393600526242
2022-Fall,2022,Fall,BRAND,스튜디오니콜슨,117,0.2748672649532491
2022-Fall,2022,Fall,BRAND,아노블리어,101,0.23727857914767653
2022-Fall,2022,Fall,BRAND,아더에러,500,1.1746464314241414
2022-Fall,2022,Fall,BRAND,아디다스,1052,2.4714560917163935
2022-Fall,2022,Fall,BRAND,아르켓,62,0.14565615749659352
2022-Fall,2022,Fall,BRAND,아미,93,0.21848423624489027
2022-Fall,2022,Fall,BRAND,아스토플렉스,21,0.04933515011981394
2022-Fall,2022,Fall,BRAND,아식스,1099,2.581872856270263
2022-Fall,2022,Fall,BRAND,아워레가시,326,0.7658694732885402
2022-Fall,2022,Fall,BRAND,아워셀브스,22,0.051684442982662226
2022-Fall,2022,Fall,BRAND,아워스코프,74,0.1738476718507729
2022-Fall,2022,Fall,BRAND,아이언레인저,26,0.061081614434055354
2022-Fall,2022,Fall,BRAND,아크테릭스,341,0.8011088662312643
2022-Fall,2022,Fall,BRAND,아트이프액츠,174,0.40877695813560117
2022-Fall,2022,Fall,BRAND,아페쎄,119,0.2795658506789456
2022-Fall,2022,Fall,BRAND,아프레쎄,6,0.014095757177089697
2022-Fall,2022,Fall,BRAND,안데르센,109,0.25607292205046284
2022-Fall,2022,Fall,BRAND,알렌느,122,0.28661372926749046
2022-Fall,2022,Fall,BRAND,애쉬크로프트,67,0.15740262181083495
2022-Fall,2022,Fall,BRAND,애프터프레이,504,1.1840436028755346
2022-Fall,2022,Fall,BRAND,애플,330,0.7752666447399333
2022-Fall,2022,Fall,BRAND,앤더슨벨,798,1.8747357045529296
2022-Fall,2022,Fall,BRAND,어나더오피스,97,0.22788140769628343
2022-Fall,2022,Fall,BRAND,어널러코드,123,0.28896302213033875
2022-Fall,2022,Fall,BRAND,언더마이카,65,0.15270403608513838
2022-Fall,2022,Fall,BRAND,언타이틀,59,0.13860827890804867
2022-Fall,2022,Fall,BRAND,에센셜,145,0.340647465113001
2022-Fall,2022,Fall,BRAND,에스티유오피스,189,0.4440163510783254
